date,price
2018/4/2,2.702
2018/4/3,2.693
2018/4/4,2.694
2018/4/9,2.711
2018/4/10,2.775
2018/4/11,2.775
2018/4/12,2.742
2018/4/13,2.717
2018/4/16,2.655
2018/4/17,2.626
2018/4/18,2.643
2018/4/19,2.676
2018/4/20,2.637
2018/4/23,2.658
2018/4/24,2.718
2018/4/25,2.693
2018/4/26,2.655
2018/4/27,2.642
2018/5/2,2.646
2018/5/3,2.654
2018/5/4,2.634
2018/5/7,2.674
2018/5/8,2.714
2018/5/9,2.711
2018/5/10,2.723
2018/5/11,2.716
2018/5/14,2.745
2018/5/15,2.74
2018/5/16,2.705
2018/5/17,2.689
2018/5/18,2.733
2018/5/21,2.736
2018/5/22,2.717
2018/5/23,2.672
2018/5/24,2.655
2018/5/25,2.654
2018/5/28,2.668
2018/5/29,2.655
2018/5/30,2.601
2018/5/31,2.651
2018/6/1,2.643
2018/6/4,2.686
2018/6/5,2.696
2018/6/6,2.686
2018/6/7,2.694
2018/6/8,2.652
2018/6/11,2.663
2018/6/12,2.688
2018/6/13,2.672
2018/6/14,2.675
2018/6/15,2.678
2018/6/19,2.612
2018/6/20,2.61
2018/6/21,2.592
2018/6/22,2.598
2018/6/25,2.548
2018/6/26,2.52
2018/6/27,2.465
2018/6/28,2.441
2018/6/29,2.495
2018/7/2,2.402
2018/7/3,2.41
2018/7/4,2.39
